post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url
Rekomendasi Anime Summer 2024 yang Tidak Boleh Kamu Lewatkan!,Rekomendasi Anime Summer 2024 yang Tidak Boleh Kamu Lewatkan!,Geek,Retna Kumalasari,2024-07-07 18:45:32,2024/07/Anime-Summer-2024-featured-640x360.jpg,2024/07/Anime-Summer-2024-featured-320x180.jpg,Anime Manga,geek/anime-manga/rekomendasi-anime-summer-2024
Memilih Karakter Starter Terbaik di The First Descendant untuk Pemula!,Memilih Karakter Starter Terbaik di The First Descendant untuk Pemula!,Geek,Sandi,2024-07-07 18:00:39,2024/07/the-first-descendant-3-640x360.jpg,2024/07/the-first-descendant-3-320x180.jpg,Game,geek/game/memilih-karakter-starter-terbaik-di-the-first-descendant-untuk-pemula
Studio Pierrot Umumkan Anime Magical Girl Terbaru Mereka!,Studio Pierrot Umumkan Anime Magical Girl Terbaru Mereka!,Geek,Arini Rizki Fauziah,2024-07-07 17:15:00,2024/07/anime-baru-Studio-Pierrot-1-640x360.jpg,2024/07/anime-baru-Studio-Pierrot-1-320x180.jpg,Anime Manga,geek/anime-manga/studio-pierrot
"JKT48 Lepas Lagu ""Cinta, Persahabatan, dan Perjuangan"", Theme Song Ultah Free Fire!","JKT48 Lepas Lagu ""Cinta, Persahabatan, dan Perjuangan""",Esports,Mecca Medina,2024-07-07 16:30:45,2024/07/jkt48-Cinta-Persahabatan-dan-Perjuangan-featured-640x360.jpg,2024/07/jkt48-Cinta-Persahabatan-dan-Perjuangan-featured-320x180.jpg,Free Fire,esports/free-fire/jkt48-cinta-persahabatan-dan-perjuangan
Xorizo Farewell Dari Bigetron Alpha Setelah Bertarung Sejak MPL ID S8,Xorizo Farewell Dari Bigetron Alpha Setelah Bertarung Sejak MPL ID S8,Esports,Mecca Medina,2024-07-07 15:45:56,2024/07/Xorizo-Farewell-Dari-Bigetron-Alpha-featured-640x360.jpg,2024/07/Xorizo-Farewell-Dari-Bigetron-Alpha-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/xorizo-farewell-dari-bigetron-alpha
Kenapa Heino Jarang Diban? Ini Analisis Dari Kaela Kovalskia,Kenapa Heino Jarang Diban? Ini Analisis Dari Kaela Kovalskia,Esports,Mecca Medina,2024-07-07 15:00:50,2024/07/Kenapa-Heino-Jarang-Diban-featured-640x360.jpg,2024/07/Kenapa-Heino-Jarang-Diban-featured-320x180.jpg,Esports Lain,esports/esports-lain/kenapa-heino-jarang-diban
"20 Game Android Terbaik 2024, Ada One Punch Man dan Subway Surfers","Game Android Terbaik 2024, Ada One Punch Man dan Subway Surfers",Geek,Retna Kumalasari,2024-07-07 14:15:33,2024/07/Game-Android-Terbaik-2024-featured-640x360.jpeg,2024/07/Game-Android-Terbaik-2024-featured-320x180.jpeg,Game,geek/game/game-android-terbaik-2024
"Indonesia Pulang Duluan Dari MSC 2024, KB Sebut Tamparan Keras Buat Tim MPL ID","Indo Pulang Dari MSC 2024, KB Sebut Tamparan Keras Buat Tim MPL ID",Esports,Mecca Medina,2024-07-07 13:30:25,2024/07/kb-tamparan-keras-msc-2024-featured-640x360.jpg,2024/07/kb-tamparan-keras-msc-2024-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/kb-tamparan-keras-msc-2024
"5 Game PSP Berkuran Kecil, Nggak Sampai 1 GB!","Game PSP Berkuran Kecil, Size-nya Nggak Sampai 1 GB!",Geek,Dwi Ayu,2024-07-07 12:45:15,2024/06/Elang-1-30-640x360.jpg,2024/06/Elang-1-30-320x180.jpg,Game,geek/game/game-psp-berkuran-kecil
Emulator Android khusus Linux WayDroid dikabarkan Tuju Steam!,Emulator Android khusus Linux WayDroid dikabarkan Tuju Steam!,Tekno,Spades,2024-07-07 12:00:48,2024/07/waydroid-steam-featured-640x360.jpg,2024/07/waydroid-steam-featured-320x180.jpg,Aplikasi,tekno/aplikasi/waydroid-dikabarkan-tuju-steam
"Toshi Toshi no Mi, Buah Iblis Bonney yang Muncul dalam Serial Anime One Piece!","Toshi Toshi no Mi, Buah Iblis Bonney yang Muncul dalam Serial One Piece!",Geek,Retna Kumalasari,2024-07-07 11:15:08,2024/06/Toshi-Toshi-no-Mi-featured-640x360.jpg,2024/06/Toshi-Toshi-no-Mi-featured-320x180.jpg,Anime Manga,geek/anime-manga/tohsi-toshi-no-mi-buah-iblis-bonney
"Takkan Ada Days Gone 2, Dev. Bakal Fokus Garap IP Baru","Takkan Ada Days Gone 2, Dev. Bakal Fokus Garap IP Baru",Geek,Sandi,2024-07-07 10:30:43,2024/07/days-gone-640x360.jpg,2024/07/days-gone-320x180.jpg,Game,geek/game/takkan-ada-days-gone-2-dev-bakal-fokus-garap-ip-baru
Mystery Shop Free Fire Juli 2024: Bocoran Tanggal Rilis hingga Hadiahnya,Mystery Shop Free Fire Juli 2024: Bocoran Tanggal Rilis hingga Hadiahnya,Esports,Retna Kumalasari,2024-07-07 09:45:04,2024/07/Mystery-Shop-Free-Fire-featured-640x360.jpg,2024/07/Mystery-Shop-Free-Fire-featured-320x180.jpg,Free Fire,esports/free-fire/mystery-shop-free-fire-juli-2024
Lokasi dan Cara Menemukan Shimmer di Terraria,"Lokasi dan Cara Menemukan Shimmer di Terraria, Ada di Mana?",Geek,Dwi Ayu,2024-07-07 09:00:07,2024/06/Elang-43-640x360.jpg,2024/06/Elang-43-320x180.jpg,Game,geek/game/shimmer-terraria
Coaching Staff Fnatic ONIC Bicara Soal Format BO2 dan Evaluasi Tim,Coaching Staff Fnatic ONIC Bicara Soal Format BO2 dan Evaluasi Tim,Esports,Mecca Medina,2024-07-07 08:15:50,2024/07/fnatic-onic-format-bo2-featured-640x360.jpg,2024/07/fnatic-onic-format-bo2-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/fnatic-onic-format-bo2
"Film Anime Fuuto PI Diumumkan, Tayang Perdana November 2024!","Film Anime Fuuto PI Diumumkan, Tayang Perdana November 2024!",Geek,Arini Rizki Fauziah,2024-07-07 07:30:30,2024/07/film-anime-Fuuto-PI--640x360.jpg,2024/07/film-anime-Fuuto-PI--320x180.jpg,Anime Manga,geek/anime-manga/film-anime-fuuto-pi-fuuto-pi
Spesifikasi PC untuk Memainkan The First Descendant,Spesifikasi PC untuk Memainkan The First Descendant,Geek,Sandi,2024-07-07 06:45:06,2024/07/the-first-descendant-640x360.jpg,2024/07/the-first-descendant-320x180.jpg,Game,geek/game/spesifikasi-pc-untuk-memainkan-the-first-descendant
"BREAKING: EVOS dan FNOC Kalah, Tidak Ada Tim Indonesia di Playoff MSC 2024","EVOS dan FNOC Kalah, Tidak Ada Tim Indonesia di Playoff MSC 2024",Esports,Mecca Medina,2024-07-06 20:37:55,2024/07/evos-fnoc-kalah-msc-2024-featured-640x360.jpg,2024/07/evos-fnoc-kalah-msc-2024-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/evos-fnoc-kalah-msc-2024
Fun Match 7th Anniversary Free Fire: EVOS Icy Kalah dari Antiban Ladies,Fun Match 7th Anniversary Free Fire: EVOS Icy Kalah dari Antiban Ladies,Esports,Yaya,2024-07-06 20:00:14,2024/07/7th-anniversary-free-fire-feature-2-640x360.jpg,2024/07/7th-anniversary-free-fire-feature-2-320x180.jpg,Free Fire,esports/free-fire/fun-match-7th-anniversary-free-fire
"Intip Keseruan Event 7th Anniversary Free Fire di Sini, Ada Cosplayer Hingga EVOS Icy!","Intip Keseruan Event 7th Anniversary Free Fire di Sini, Ada Cosplayer Hingga EVOS Icy!",Esports,Yaya,2024-07-06 19:40:31,2024/07/7th-anniversary-free-fire-feature-640x360.jpg,2024/07/7th-anniversary-free-fire-feature-320x180.jpg,Free Fire,esports/free-fire/keseruan-event-7th-anniversary-free-fire
EKSKLUSIF: mindfreak Nilai Monyet Lebih Cocok Bermain di RRQ,mindfreak Nilai Monyet Lebih Cocok Bermain di RRQ,Esports,Mecca Medina,2024-07-06 18:22:19,2024/07/mindfreak-monyet-rrq-featured-640x360.jpg,2024/07/mindfreak-monyet-rrq-featured-320x180.jpg,Valorant,esports/valorant/mindfreak-monyet-rrq
"Meski Dikalahkan Liquid ECHO, HomeBois Siap Hadapi Knockout Stage","Meski Dikalahkan Liquid ECHO, HomeBois Siap Hadapi Knockout Stage",Esports,Mecca Medina,2024-07-06 18:04:08,2024/07/homebois-dikalahkan-liquid-echo-featured-640x360.jpg,2024/07/homebois-dikalahkan-liquid-echo-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/homebois-dikalahkan-liquid-echo-msc-2024
Begini Cara Log In ke Roblox Menggunakan Fitur Quick Login!,Begini Cara Log in ke Roblox Menggunakan Fitur Roblox Quick Login!,Geek,Retna Kumalasari,2024-07-06 15:30:30,2024/07/Roblox-Quick-Login-featured-640x360.jpg,2024/07/Roblox-Quick-Login-featured-320x180.jpg,Game,geek/game/begini-cara-log-in-ke-roblox-menggunakan-fitur-quick-login
"Urutan Rank FF Terbaru dari Setiap Mode, Mainkan Gamenya Sekarang dan Dapatkan Posisi Tertingginya!","Urutan Rank FF Terbaru dari Setiap Mode, Mainkan Gamenya Sekarang!",Esports,Retna Kumalasari,2024-07-06 14:30:20,2024/07/Rank-FF-Terbaru-featured-640x360.jpg,2024/07/Rank-FF-Terbaru-featured-320x180.jpg,Free Fire,esports/free-fire/urutan-rank-ff-terbaru
"Item Serbaguna dan Sulit Diatasi, Moonton Berikan Nerf Sky Piercer MLBB","Item Serbaguna dan Sulit Diatasi, Moonton Berikan Nerf Sky Piercer MLBB",Esports,Retna Kumalasari,2024-07-06 13:30:34,2024/07/Nerf-Sky-Piercer-MLBB-featured-640x360.jpg,2024/07/Nerf-Sky-Piercer-MLBB-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/moonton-berikan-nerf-sky-piercer-mlbb
Blue Lock chapter 267 Saatnya Penentuan Kaiser vs Isagi,Blue Lock chapter 267 Saatnya Penentuan Kaiser vs Isagi,Geek,Adagium,2024-07-06 12:45:23,2024/07/blue-lock-267-640x360.jpg,2024/07/blue-lock-267-320x180.jpg,Anime Manga,geek/anime-manga/blue-lock-chapter-267
"Cara Mendapatkan Bundle Trunks PUBG Mobile, Selesaikan Misi dan Klaim Hadiahnya!",Klaim Hadiahnya! Ini Cara Mendapatkan Bundle Trunks PUBG Mobile,Esports,Retna Kumalasari,2024-07-06 12:00:16,2024/07/Bundle-Trunks-PUBG-featured-640x360.jpg,2024/07/Bundle-Trunks-PUBG-featured-320x180.jpg,PUBG Mobile,esports/pubg-mobile/cara-mendapatkan-bundle-trunks-pubg-mobile
5 Video Game Civil War Amerika Terbaik yang Pernah Ada,%%title%%,Geek,Dwi Ayu,2024-07-06 11:15:48,2024/06/Dwi-1-7-640x360.jpg,2024/06/Dwi-1-7-320x180.jpg,Game,geek/game/5-video-game-civil-war-amerika-terbaik-yang-pernah-ada
"One Piece Live-Action Season 2 Mulai Diproduksi, Rilis 2025!","One Piece Live-Action Season 2 Mulai Diproduksi, Rilis 2025!",Geek,Arini Rizki Fauziah,2024-07-06 10:30:54,2024/07/one-piece-netflix-season-2-640x360.jpg,2024/07/one-piece-netflix-season-2-320x180.jpg,Anime Manga,geek/anime-manga/one-piece-netflix-season-2
"Build dan Item Hero Biron Honor of Kings, Wajib Coba!","Build dan Item Hero Biron Honor of Kings, Wajib Coba!",Esports,Arini Rizki Fauziah,2024-07-06 09:45:58,2024/07/Build-dan-Item-Hero-Biron-Honor-of-Kings-640x360.jpg,2024/07/Build-dan-Item-Hero-Biron-Honor-of-Kings-320x180.jpg,Esports Lain,esports/esports-lain/build-dan-item-hero-biron-honor-of-kings-wajib-coba
"Tidak diduga, Zenless Zone Zero Bisa dimainkan di Steam Deck!","Tidak diduga, Zenless Zone Zero Bisa dimainkan di Steam Deck!",Geek,Spades,2024-07-06 09:00:50,2024/07/zenless-zone-zero-steam-deck-featured-640x360.jpg,2024/07/zenless-zone-zero-steam-deck-featured-320x180.jpg,Game,geek/game/zenless-zone-zero-steam-deck
"Diprediksi Jadi Kuda Hitam, Team Spirit Gugur di MSC 2024","Diprediksi Jadi Kuda Hitam, Team Spirit Gugur di MSC 2024",Esports,Mecca Medina,2024-07-06 08:40:07,2024/07/team-spirit-msc-2024-featured-639x360.jpg,2024/07/team-spirit-msc-2024-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/team-spirit-msc-2024
"Pet Terbaik untuk Karakter Jota Free Fire, Apa Saja?","Pet Terbaik untuk Karakter Jota Free Fire, Apa Saja?",Esports,Farid Ansori,2024-07-06 08:15:05,2023/02/pet-jota-free-fire-640x360.jpg,2023/02/pet-jota-free-fire-320x180.jpg,Free Fire,esports/free-fire/pet-terbaik-untuk-karakter-jota-free-fire
Genshin Impact 4.8 Hadirkan Map Limited Simulanka!,Genshin Impact 4.8 Hadirkan Map Limited Simulanka!,Geek,Mecca Medina,2024-07-06 07:34:32,2024/07/Genshin-Impact-4.8-featured-640x360.jpg,2024/07/Genshin-Impact-4.8-featured-320x180.jpg,Game,geek/game/genshin-impact-4-8
"Akibat Restrukturisasi, SEGA Dilaporkan Kehilangan Jutaan Yen!","Akibat Restrukturisasi, SEGA Dilaporkan Kehilangan Jutaan Yen!",Geek,Sandi,2024-07-05 22:30:03,2024/07/restrukturisasi-sega-2-640x360.jpg,2024/07/restrukturisasi-sega-2-320x180.jpg,Game,geek/game/akibat-restrukturisasi-sega-dilaporkan-kehilangan-jutaan-yen
"7 Manga Seinen Terbaik, Wajib Baca di 2024 Ini!","7 Rekomendasi Manga Seinen Terbaik, Wajib Baca di 2024 Ini!",Geek,Arini Rizki Fauziah,2024-07-05 21:45:16,2024/07/Manga-Seinen-Terbaik-640x360.jpg,2024/07/Manga-Seinen-Terbaik-320x180.jpg,Anime Manga,geek/anime-manga/manga-seinen-terbaik
4 Game Balapan Rally yang Memicu Adrenalin,Game Balapan Rally yang Memicu Adrenalin Pembalap,Geek,Dwi Ayu,2024-07-05 21:00:00,2024/06/Elang-45-640x360.jpg,2024/06/Elang-45-320x180.jpg,Game,geek/game/game-balapan-rally
One Piece Chapter 1119: Robot Kuno Emeth Mendatangi Nika,One Piece Chapter 1119: Robot Kuno Emeth Mendatangi Nika,Geek,Adagium,2024-07-05 20:15:51,2024/06/one-piece-1119-640x360.jpg,2024/06/one-piece-1119-320x180.jpg,Anime Manga,geek/anime-manga/one-piece-chapter-1119
Update Terbaru Palworld Sukses Tarik Kembali Player-nya!,Update Terbaru Palworld Sukses Tarik Kembali Player-nya!,Geek,Sandi,2024-07-05 19:30:42,2024/07/update-palworld-640x360.jpg,2024/07/update-palworld-320x180.jpg,Game,geek/game/update-terbaru-palworld-sukses-tarik-kembali-player-nya
Fire Flux Esports Manfaatkan Kesulitan EVOS Glory Susun Draft Pick,Fire Flux Esports Manfaatkan Kesulitan EVOS Glory Susun Draft Pick,Esports,Mecca Medina,2024-07-05 18:58:48,2024/07/Fire-Flux-evos-glory-featured-640x360.jpg,2024/07/Fire-Flux-evos-glory-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/fire-flux-esports-evos-glory-msc-2024
"Terinspirasi dari Faker, EVOS Esports Ingin Bentuk Lingkungan yang Baik dalam Organisasinya!","Terinspirasi dari Faker, EVOS Ingin Bentuk Lingkungan yang Baik",Esports,Retna Kumalasari,2024-07-05 18:45:57,2024/07/Terinspirasi-dari-Faker-featured-640x360.jpg,2024/07/Terinspirasi-dari-Faker-featured-320x180.jpg,Esports Lain,esports/esports-lain/terinspirasi-dari-faker-evos-ingin-buat-lingkungan-yang-baik
EKSKLUSIF: Ikal Ingin Buktikan Bigetron Delta Bukan Kuat di Online Saja,EKSKLUSIF: Ikal Ingin Buktikan Bigetron Delta Bukan Kuat di Online Saja,Esports,Yaya,2024-07-05 18:30:59,2024/07/ikal-feature-640x360.jpg,2024/07/ikal-feature-320x180.jpg,Free Fire,esports/free-fire/eksklusif-ikal-bigetron-delta-bukan-kuat-di-online-saja
Tears of Themis 3rd Anniversary Hadirkan Banyak Event Menarik,Tears of Themis 3rd Anniversary Hadirkan Banyak Event Menarik,Geek,Mecca Medina,2024-07-05 18:00:34,2024/07/Tears-of-Themis-3rd-Anniversary-featured-640x360.jpg,2024/07/Tears-of-Themis-3rd-Anniversary-featured-320x180.jpg,Game,geek/game/tears-of-themis-3rd-anniversary
EKSKLUSIF: Coach ChrisJo Bicara Roster & Ekspektasi ke Bigetron Delta di FFWS ID Fall 2024,EKSKLUSIF: Coach ChrisJo Bicara Roster & Ekspektasi ke Bigetron Delta di FFWS ID Fall 2024,Esports,Yaya,2024-07-05 17:40:27,2024/07/Coach-ChrisJo-feature-640x360.jpg,2024/07/Coach-ChrisJo-feature-320x180.jpg,Free Fire,esports/free-fire/eksklusif-coach-chrisjo-roster-ekspektasi-bigetron-delta-ffws-id-fall-2024
Launching Zenless Zone Zero Berlangsung Meriah di Kemang,Launching Zenless Zone Zero Berlangsung Meriah di Kemang,Geek,Mecca Medina,2024-07-05 17:27:33,2024/07/Launching-Zenless-Zone-Zero-featured-640x360.jpg,2024/07/Launching-Zenless-Zone-Zero-featured-320x180.jpg,Game,geek/game/launching-zenless-zone-zero
"Skill Dr. Bian HOK, Kekuatan Racun dan Healing yang Kuat!","Skill Dr. Bian HOK, Kekuatan Racun dan Healing yang Kuat!",Esports,Arini Rizki Fauziah,2024-07-05 17:15:04,2024/07/skill-dr-bian-hok-640x360.jpg,2024/07/skill-dr-bian-hok-320x180.jpg,Esports Lain,esports/esports-lain/skill-dr-bian-hok
Cara Mengakses Map Mt. Firmament di Wuthering Waves,Cara Mengakses Map Mt. Firmament di Wuthering Waves,Geek,Sandi,2024-07-05 16:30:26,2024/06/wuthering-waves-3-640x360.jpg,2024/06/wuthering-waves-3-320x180.jpg,Game,geek/game/cara-mengakses-map-mt-firmament-di-wuthering-waves
Trilogi Film Kimetsu no Yaiba Infinity Castle Sedang Dikerjakan!,Triligo Film Kimetsu no Yaiba Infinity Castle Sedang Dikerjakan!,Geek,Arini Rizki Fauziah,2024-07-05 15:45:55,2024/07/Film-Kimetsu-no-Yaiba-Infinity-Castle-640x360.jpg,2024/07/Film-Kimetsu-no-Yaiba-Infinity-Castle-320x180.jpg,Anime Manga,geek/anime-manga/film-kimetsu-no-yaiba-infinity-castle
Ubisoft Berencana Remake Beberapa Judul Assassin's Creed,Ubisoft Berencana Remake Beberapa Judul Assassin's Creed,Geek,Sandi,2024-07-05 15:00:37,2024/06/assassins-creed-640x360.jpg,2024/06/assassins-creed-320x180.jpg,Game,geek/game/ubisoft-berencana-remake-beberapa-judul-assassins-creed
"Rekomendasi Emblem, Battle Spell, dan Build Bruno Season 33","Rekomendasi Emblem, Battle Spell, dan Build Bruno Season 33",Esports,Retna Kumalasari,2024-07-05 14:15:04,2024/06/Build-Bruno-Season-33-featured-640x360.jpg,2024/06/Build-Bruno-Season-33-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/build-bruno-season-33
10 Anime Summer 2024 Terbaik yang Wajib Kamu Tonton!,10 Anime Summer 2024 Terbaik yang Wajib Kamu Tonton!,Geek,Arini Rizki Fauziah,2024-07-05 13:30:04,2024/06/10-Anime-summer-2024-Terbaik-640x360.jpg,2024/06/10-Anime-summer-2024-Terbaik-320x180.jpg,Anime Manga,geek/anime-manga/anime-summer-2024-terbaik
